x	y	hex_location	travel_regions	connected_regions	landmass	terrain	feature	natural_wonder_order	continent	number_of_units	resource	resource_boolean	improvement	improvement_owner	road	appeal	river_e	river_se	river_sw	river_count	river_map	cliff_map	flags1	flags2	flags3	flags4	flags5	flags6	flags7	buffer1	buffer1_flag	buffer2	city_1	city_2	district	owner	world_wonder	tile_length
0	0	1429433	65536	65536	4294967295	1204357597	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
1	0	1429488	65536	65536	4294967295	1204357597	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
2	0	1429543	65536	65536	4294967295	1204357597	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
3	0	1429598	65536	65536	4294967295	1204357597	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
4	0	1429653	65536	65536	4294967295	1204357597	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
5	0	1429708	65536	65536	4294967295	1204357597	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
6	0	1429763	65536	65536	4294967295	1204357597	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
7	0	1429818	65536	65536	4294967295	1204357597	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
8	0	1429873	65536	65536	4294967295	1204357597	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
9	0	1429928	65536	65536	4294967295	1204357597	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
10	0	1429983	65536	65536	4294967295	1204357597	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
11	0	1430038	65536	65536	4294967295	1204357597	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
12	0	1430093	65536	65536	4294967295	1204357597	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
13	0	1430148	65536	65536	4294967295	1204357597	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
14	0	1430203	65536	65536	4294967295	1204357597	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
15	0	1430258	65536	65536	4294967295	1248885265	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
16	0	1430313	65536	65536	4294967295	1248885265	4294967295	0	4294967295	0	673592983	1	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
17	0	1430368	131073	131073	65536	2213004848	4294967295	0	1562449609	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
18	0	1430423	131073	131073	65536	2213004848	4294967295	0	1562449609	0	1807168256	1	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
19	0	1430478	131073	131073	65536	1855786096	4294967295	0	1562449609	0	3096555325	1	4294967295	-1	-1	0	-1	-1	-1	0	0	33	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
20	0	1430533	131073	131073	65536	1855786096	170002756	0	1562449609	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	33	0	0	0	1	0	0	0	"0100000005b3952f0a000000000000050000000000000000"	0	""	""	""	""	""	""	79
21	0	1430612	131073	131073	65536	4226188894	170002756	0	1562449609	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	1	0	0	0	"0100000005b3952f0a000000000000050000000000000000"	0	""	""	""	""	""	""	79
22	0	1430691	131073	131073	65536	4226188894	170002756	0	1562449609	0	1406122326	1	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	1	0	0	0	"0100000005b3952f0a000000000000050000000000000000"	0	""	""	""	""	""	""	79
23	0	1430770	131073	131073	65536	4226188894	4294967295	0	1562449609	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
24	0	1430825	131073	131073	65536	3852995116	4294967295	0	1562449609	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
25	0	1430880	131073	131073	65536	3852995116	4294967295	0	1562449609	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
26	0	1430935	131073	131073	65536	3108058291	4294967295	0	1562449609	0	3096555325	1	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
27	0	1430990	131073	131073	65536	3872285854	4294967295	0	1562449609	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
28	0	1431045	196610	131073	4294967295	2746853616	4294967295	0	1562449609	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	0	0	0	0	""	""	""	""	""	""	""	""	55
29	0	1431100	196610	131073	4294967295	1418772217	4294967295	0	1562449609	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	0	0	0	0	""	""	""	""	""	""	""	""	55
30	0	1431155	131073	131073	65536	3852995116	4294967295	0	1562449609	0	2790735626	1	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
31	0	1431210	262147	196610	4294967295	1248885265	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
32	0	1431265	131073	131073	131073	3852995116	1646220195	0	1562449609	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	1	0	0	0	"0100000005b3952f0a000000000000050000000000000000"	0	""	""	""	""	""	""	79
33	0	1431344	327684	131073	4294967295	1418772217	4294967295	0	1562449609	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	32	0	0	0	0	0	""	""	""	""	""	""	""	""	55
34	0	1431399	131073	131073	131073	3852995116	4294967295	0	1562449609	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
35	0	1431454	131073	131073	131073	4226188894	4294967295	0	1562449609	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
36	0	1431509	65536	65536	4294967295	1248885265	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
37	0	1431564	65536	65536	4294967295	1248885265	4294967295	0	4294967295	0	4294967295	0	4294967295	-1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	55
